Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Q REV BIOPHYS	QUARTERLY REVIEWS OF BIOPHYSICS	0033-5835	1469-8994	9.421	9.105	7.647	6.625	3.941	9.688	10.529	10.6	9.765	3.269	7.556	12.188	10.2	11.235	10.091	11.875	10.083	7.81	7.222	5.267	7.242	6.643	5.545	5.318	7.44	6.1	6.1
JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	0098-7484	1538-3598	9.258	9.522	11.435	15.402	17.569	16.586	21.455	24.831	23.494	23.175	25.547	31.718	28.899	30.011	30.026	29.978	30.387	35.289	37.684	44.405	47.661	51.273	45.54	56.272	157.335	120.7	120.7
PHYS REP	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	0370-1573	1873-6270	9.099	5.631	6.111	7.11	8.341	12.645	11.98	14.742	10.458	10.438	20.263	18.522	17.752	19.438	20.394	22.929	22.91	20.033	16.24	17.425	20.099	28.295	25.798	25.6	30.51	30.0	30.0
CA-CANCER J CLIN	CA-A CANCER JOURNAL FOR CLINICIANS	0007-9235	1542-4863	9.098	21.432	22.327	24.674	35.933	32.886	33.056	44.515	49.794	63.342	69.026	74.575	87.925	94.333	101.78	153.459	162.5	144.8	131.723	187.04	244.585	223.679	292.278	508.702	286.13	254.7	254.7
CURR OPIN IMMUNOL	CURRENT OPINION IN IMMUNOLOGY	0952-7915	1879-0372	9.077	11.026	11.887	12.549	13.724	12.918	12.118	11.565	9.103	9.422	9.325	10.455	10.881	10.141	9.522	8.771	7.867	7.478	7.126	8.384	7.932	7.667	7.29	7.486	7.268	7.0	7.0
P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	0027-8424	1091-6490	9.04	9.821	10.26	10.789	10.896	10.7	10.272	10.452	10.231	9.643	9.598	9.38	9.432	9.771	9.681	9.737	9.809	9.674	9.423	9.661	9.504	9.58	9.412	11.205	12.779	11.1	11.1
MOL BIOL CELL	MOLECULAR BIOLOGY OF THE CELL	1059-1524	1939-4586	8.926	8.256	7.527	8.482	7.7	7.599	7.454	7.517	6.52	6.562	6.028	5.558	5.979	5.861	4.942	4.803	4.548	4.466	4.037	3.685	3.512	3.905	3.791	4.138	3.612	3.3	3.3
ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY	0066-4227	1545-3251	8.778	9.646	7.86	9.238	11.447	13.981	12.105	12.316	13.412	14.553	14.362	10.902	12.804	12.415	14.345	12.9	13.018	12.182	10.536	9.415	9.808	10.242	11.0	15.5	16.232	10.5	10.5
ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY	0066-4227	1545-3251	8.778	9.646	7.86	9.238	11.447	13.981	12.105	12.316	13.412	14.553	14.362	10.902	12.804	12.415	14.345	12.9	13.018	12.182	10.536	9.415	9.808	10.242	11.0	15.5	16.232	10.5	10.5
DIABETES	DIABETES	0012-1797	1939-327X	8.675	8.459	9.019	7.715	7.7	8.256	8.298	8.848	8.028	7.955	8.261	8.398	8.505	8.889	8.286	7.895	8.474	8.095	8.784	8.684	7.273	7.199	7.72	9.461	9.337	7.7	7.7
CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS	0893-8512	1098-6618	8.585	9.638	13.194	12.141	10.652	10.321	11.53	10.671	10.443	12.643	15.764	16.409	14.691	13.5	16.129	17.313	16.0	17.406	16.187	19.958	20.642	17.75	22.556	26.132	50.129	36.8	36.8
ANGEW CHEM INT EDIT	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	1433-7851	1521-3773	8.56	8.029	7.996	8.547	8.255	7.671	8.427	9.161	9.596	10.232	10.031	10.879	11.829	12.73	13.455	13.734	11.336	11.261	11.709	11.994	12.102	12.257	12.959	15.336	16.823	16.6	16.6
HUM MOL GENET	HUMAN MOLECULAR GENETICS	0964-6906	1460-2083	8.505	9.307	9.359	9.048	9.318	8.726	8.597	7.801	7.764	8.099	7.806	7.249	7.386	8.058	7.636	7.692	6.677	6.393	5.985	5.34	4.902	4.544	5.1	6.15	5.121	3.5	3.5
CIRC RES	CIRCULATION RESEARCH	0009-7330	1524-4571	8.438	7.988	8.281	9.193	9.213	9.694	10.117	9.972	9.408	9.854	9.721	9.989	9.214	9.504	9.489	11.861	11.089	11.019	11.551	13.965	15.211	15.862	14.467	17.367	23.213	20.1	20.1
CANCER RES	CANCER RESEARCH	0008-5472	1538-7445	8.426	8.37	8.614	8.46	8.302	8.318	8.649	7.69	7.616	7.656	7.672	7.514	7.543	8.234	7.856	8.65	9.284	9.329	8.556	9.122	9.13	8.378	9.727	12.701	13.312	11.2	11.2
